"Customer","Country","Network","Node_Qty","NE_Type","GTAC","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total_Runs"
"TTML","India","1 NETWORK","27","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"TTSL_BackBone","India","1 NETWORK","40","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"TTSL North","India","1 NETWORK","17","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"TTSL_EAST","India","1 NETWORK","14","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"TTSL_South","India","1 NETWORK","12","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"LTV","India","1 NETWORK","148","1830PSS","PSS","-","-","-","-","-","-","-","-","10-Sep-25","-","-","-","1"
"Maxis_M_Sdn_Bhd","Malaysia","1 NETWORK","394","1830PSS","PSS","-","-","-","-","-","16-Jun-25","-","-","-","-","-","-","1"
"Maxis_M_Sdn_Bhd_OCS","Malaysia","1 NETWORK","10","1830PSS","PSS","-","-","-","-","-","16-Jun-25","-","-","-","-","-","-","1"
"Worldlink","Nepal","1 NETWORK","21","1830PSS","PSS","-","-","-","-","-","-","-","10-Aug-25","-","-","-","-","1"
"OPT_NC","New Caledonia","1 NETWORK","31","1830PSS","PSS","-","-","-","-","-","-","-","27-Aug-25","-","-","-","-","1"
"Asianet_SatCom","India","1 NETWORK","13","1830PSS","PSS","-","-","-","-","-","17-Jun-23","-","-","-","-","-","-","1"
"TIMEDOTCOM","Malaysia","1 NETWORK","89","1830PSS","PSS","-","-","-","-","-","-","-","06-Aug-25","-","-","-","-","1"
"Telekom_Malaysia","Malaysia","1 NETWORK","173","1830PSS","PSS","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"TTSL_ONE","India","1 NETWORK","14","1830 ONE","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","1"
"KEPCO","Korea","1 NETWORK","110","1830PSS","PSS","-","-","-","03-Apr-24","-","-","-","-","-","-","-","-","1"
"Bharti Legacy","India","1 NETWORK","19","1678MCC","Classic","-","-","-","-","-","-","07-Jul-25","-","-","-","-","-","1"
"SKB_LH","Korea","1 NETWORK","128","1830PSS","PSS","-","-","-","-","-","-","-","28-Aug-24","-","-","-","-","1"
"KT_B2B_KINX","Korea","1 NETWORK","3","1830PSS","PSS","-","-","20-Mar-24","-","-","-","-","-","-","-","-","-","1"
"LGU_HANA_BANK","Korea","1 NETWORK","4","1830PSS","PSS","22-Jan-24","-","-","-","-","-","-","-","-","-","-","-","1"
"NongHyup-DCI","Korea","1 NETWORK","14","1830PSS","PSS","-","-","-","19-Apr-24","-","-","-","-","-","-","-","-","1"
"Kakao_DCI","Korea","1 NETWORK","17","1830PSS","PSS","-","23-Feb-24","-","-","-","-","-","-","-","-","-","-","1"
"Kakao_EnT","Korea","1 NETWORK","9","1830PSS","PSS","-","-","-","-","-","-","-","-","-","-","03-Nov-23","-","1"
"Moratelindo_ONE","Indonesia","1 NETWORK","48","1830 ONE","Classic","-","-","-","-","-","-","-","-","-","-","27-Nov-24","-","1"
"Moratelindo_PSS36","Indonesia","1 NETWORK","32","1830PSS","PSS","-","-","-","-","-","-","-","-","08-Sep-25","-","-","-","1"
"Moratelindo_PSS24","Indonesia","1 NETWORK","59","1830PSS","PSS","-","-","-","-","-","-","-","-","08-Sep-25","-","-","-","1"
"Moratelindo_WDM","Indonesia","1 NETWORK","149","1830PSS","PSS","-","-","-","-","-","-","-","-","09-Sep-25","-","-","-","1"
"BSNL_East_Zone_DWDM","India","1 NETWORK","505","1830PSS","PSS","-","-","-","-","-","-","08-Jul-25","-","-","-","-","-","1"
"BSNL_East_Zone_OTN","India","1 NETWORK","75","1830PSS","PSS","-","-","-","-","-","-","08-Jul-25","-","-","-","-","-","1"
"BSNL_North_Zone_DWDM","India","1 NETWORK","662","1830PSS","PSS","-","-","-","-","-","-","-","26-Aug-25","-","-","-","-","1"
"BSNL_North_Zone_OTN","India","1 NETWORK","80","1830PSS","PSS","-","-","-","-","-","-","-","26-Aug-25","-","-","-","-","1"
"BSNL_South_Zone_DWDM","India","1 NETWORK","373","1830PSS","PSS","-","-","-","-","-","-","-","14-Aug-25","-","-","-","-","1"
"BSNL_South_Zone_OTN","India","1 NETWORK","67","1830PSS","PSS","-","-","-","-","-","-","-","14-Aug-25","-","-","-","-","1"
"BSNL_West_Zone_DWDM","India","1 NETWORK","642","1830PSS","PSS","-","-","-","-","-","-","-","09-Aug-25","-","-","-","-","1"
"BSNL_West_Zone_OTN","India","1 NETWORK","65","1830PSS","PSS","-","-","-","-","-","-","-","09-Aug-25","-","-","-","-","1"
