"Customer","Network","Country","Node Qty","NE Type","gTAC","Jan/2025","Feb/2025","Mar/2025","Apr/2025","May/2025","Jun/2025","Jul/2025","Aug/2025","Sep/2025","Oct/2025","Nov/2025","Dec/2025"
"Tata","TTML","India","27","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"Tata","TTSL_BackBone","India","40","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"Tata","TTSL North","India","17","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"Tata","TTSL_EAST","India","14","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"Tata","TTSL_South","India","12","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"LTV","LTV","India","148","1830PSS","PSS","-","-","-","-","-","-","-","-","10-Sep-25","-","-","-"
"Maxis","Maxis_M_Sdn_Bhd","Malaysia","394","1830PSS","PSS","-","-","-","-","-","16-Jun-25","-","-","-","-","-","-"
"Maxis","Maxis_M_Sdn_Bhd_OCS","Malaysia","10","1830PSS","PSS","-","-","-","-","-","16-Jun-25","-","-","-","-","-","-"
"Worldlink","Worldlink","Nepal","21","1830PSS","PSS","-","-","-","-","-","-","-","10-Aug-25","-","-","-","-"
"OPT_NC","OPT_NC","New Caledonia","31","1830PSS","PSS","-","-","-","-","-","-","-","27-Aug-25","-","-","-","-"
"Asianet_SatCom","Asianet_SatCom","India","13","1830PSS","PSS","-","-","-","-","-","17-Jun-23","-","-","-","-","-","-"
"TIMEDOTCOM","TIMEDOTCOM","Malaysia","89","1830PSS","PSS","-","-","-","-","-","-","-","06-Aug-25","-","-","-","-"
"Telekom_Malaysia","Telekom_Malaysia","Malaysia","173","1830PSS","PSS","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"Tata","TTSL_ONE","India","14","1830 ONE","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-"
"KEPCO","KEPCO","Korea","110","1830PSS","PSS","-","-","-","03-Apr-24","-","-","-","-","-","-","-","-"
"Bharti","Bharti Legacy","India","19","1678MCC","Classic","-","-","-","-","-","-","07-Jul-25","-","-","-","-","-"
"SKB_LH","SKB_LH","Korea","128","1830PSS","PSS","-","-","-","-","-","-","-","28-Aug-24","-","-","-","-"
"KT_B2B_KINX","KT_B2B_KINX","Korea","3","1830PSS","PSS","-","-","20-Mar-24","-","-","-","-","-","-","-","-","-"
"LGU_HANA_BANK","LGU_HANA_BANK","Korea","4","1830PSS","PSS","22-Jan-24","-","-","-","-","-","-","-","-","-","-","-"
"NongHyup-DCI","NongHyup-DCI","Korea","14","1830PSS","PSS","-","-","-","19-Apr-24","-","-","-","-","-","-","-","-"
"Kakao","Kakao_DCI","Korea","17","1830PSS","PSS","-","23-Feb-24","-","-","-","-","-","-","-","-","-","-"
"Kakao","Kakao_EnT","Korea","9","1830PSS","PSS","-","-","-","-","-","-","-","-","-","-","03-Nov-23","-"
"Moratelindo","Moratelindo_ONE","Indonesia","48","1830 ONE","Classic","-","-","-","-","-","-","-","-","-","-","27-Nov-24","-"
"Moratelindo","Moratelindo_PSS36","Indonesia","32","1830PSS","PSS","-","-","-","-","-","-","-","-","08-Sep-25","-","-","-"
"Moratelindo","Moratelindo_PSS24","Indonesia","59","1830PSS","PSS","-","-","-","-","-","-","-","-","08-Sep-25","-","-","-"
"Moratelindo","Moratelindo_WDM","Indonesia","149","1830PSS","PSS","-","-","-","-","-","-","-","-","09-Sep-25","-","-","-"
"BSNL","BSNL_East_Zone_DWDM","India","505","1830PSS","PSS","-","-","-","-","-","-","08-Jul-25","-","-","-","-","-"
"BSNL","BSNL_East_Zone_OTN","India","75","1830PSS","PSS","-","-","-","-","-","-","08-Jul-25","-","-","-","-","-"
"BSNL","BSNL_North_Zone_DWDM","India","662","1830PSS","PSS","-","-","-","-","-","-","-","26-Aug-25","-","-","-","-"
"BSNL","BSNL_North_Zone_OTN","India","80","1830PSS","PSS","-","-","-","-","-","-","-","26-Aug-25","-","-","-","-"
"BSNL","BSNL_South_Zone_DWDM","India","373","1830PSS","PSS","-","-","-","-","-","-","-","14-Aug-25","-","-","-","-"
"BSNL","BSNL_South_Zone_OTN","India","67","1830PSS","PSS","-","-","-","-","-","-","-","14-Aug-25","-","-","-","-"
"BSNL","BSNL_West_Zone_DWDM","India","642","1830PSS","PSS","-","-","-","-","-","-","-","09-Aug-25","-","-","-","-"
"BSNL","BSNL_West_Zone_OTN","India","65","1830PSS","PSS","-","-","-","-","-","-","-","09-Aug-25","-","-","-","-"
